,SNR,Signal,Noise
Spettro_1,7.573,0.146,0.019
Spettro_2,,,
Spettro_3,,,
Spettro_4,-0.031,-0.002,0.077
Spettro_5,,,
Spettro_6,1.579,0.129,0.082
Spettro_7,,,
Spettro_8,,,
Spettro_9,,,
Spettro_10,5.345,0.185,0.035
Spettro_11,2.126,0.084,0.040
Spettro_12,,,
Spettro_13,,,
Spettro_14,,,
Spettro_15,,,
Spettro_16,0.596,0.039,0.065
Spettro_17,9.901,0.299,0.030
Spettro_18,11.054,0.557,0.050
Spettro_19,21.129,1.749,0.083
Spettro_20,5.905,0.310,0.052
Spettro_21,10.677,0.296,0.028
Spettro_22,3.064,0.163,0.053
Spettro_23,0.334,0.019,0.058
Spettro_24,,,
